"streamType","id","streamGenre","noOfStreams","streamerId","length","dateAdded","name"
"2","46568","1","20","220","6427","1589490000","BI 070 Bradley Love: How We Learn Concepts"
"1","35750","3","939","3109","124","1492819200","Tired"
"1","55522","1","473","8735","96","1485475200","Shape of You"
"1","43524","4","673","9418","90","1479427200","Cheap Thrills"
"1","95963","4","875","9418","130","1430352000","Elastic Heart"
"1","86711","1","230","2095","105","1515283200","Havana (feat. Young Thug)"
"2","35646","1","40","1219","3210","1673215200","Who's in your inner circle"
"2","7440","3","90","9502","2550","1589144400","AI for Good: clean water access in Africa"
"2","39305","2","94","3022","6540","1670623200","#128Texas"
"3","45587","2","52","153","31920","1392570998","Twenty-Four Hours a Day"
"1","43782","3","430","6386","139","1450310400","Runnin' (Lose It All)"
"2","84815","3","11","9502","3210","1587934800","Reinforcement learning for chip design"
"2","13227","2","86","4611","5212","1669845600","Michelle Obama returns again"
"2","4408","1","26","1219","3310","1671660000","The secret to gift giving"
"2","24453","2","77","4611","4650","1670968800","Undercover Rabbi"
"3","61887","3","28","192","86400","1636478198","Never: A Novel"
"3","62887","3","35","192","89880","1636477962","A Place Called Freedom"
"3","64847","3","100","2500","34380","1447970400","Harry Potter and the Philosopher's Stone, Book 1"
"1","96712","1","400","2095","120","1515283200","Senorita"
